host_neighbourhood,host_identity_verified,neighbourhood,city,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
Cambridge,t,Palo Alto,New York,94025,Entire rental unit,Entire home/apt,4,1,2,2,14,44,74,349,1,5,5,4,5,5,5,4
Central San Jose,t,Central San Jose,Central San Jose,95110,Entire rental unit,Entire home/apt,2,1,1,1,17,47,76,76,52,4.9,4.92,4.94,4.83,4.85,4.83,4.88
Alum Rock,t,Alum Rock,Alum Rock,95122,Private room in home,Private room,2,1,1,1,30,60,89,89,47,4.7,4.77,4.57,4.85,4.87,4.64,4.72
Los Gatos,t,Los Gatos,Los Gatos,95033,Private room in yurt,Private room,4,1,1,1,0,0,0,75,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Heritage District,t,Los Angeles,Los Angeles,95051,Entire home,Entire home/apt,4,1,2,2,0,0,0,0,2,5,5,5,5,5,5,5
Shasta-Hanchett Park,t,San Jose,San Jose,95126,Entire rental unit,Entire home/apt,1,1,1,1,14,44,74,74,23,5,5,4.96,5,5,5,4.87
Sunnyvale,t,San Francisco,San Francisco,95035,Entire serviced apartment,Entire home/apt,4,1,2,2,0,20,50,325,1,5,5,5,5,5,5,5
Sunnyvale,t,San Francisco,San Francisco,94303,Entire townhouse,Entire home/apt,6,1,3,3,0,0,0,110,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
San Jose,f,Santa Clara,San Jose,95051,Entire home,Entire home/apt,4,1,2,2,11,22,33,123,29,4.86,4.83,4.86,4.9,4.76,5,4.76
Cambridge,t,Palo Alto,New York,94305,Entire rental unit,Entire home/apt,2,1,1,1,0,0,28,303,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Santa Clara,t,Santa Clara,Santa Clara,95129,Private room in home,Private room,2,1,1,1,10,21,41,316,5,4.8,5,4.4,4.6,4.8,4.6,4.8
Santa Clara,t,Santa Clara,Santa Clara,95050,Private room in home,Private room,2,1,1,1,0,0,17,292,10,4.4,4.5,4.3,4.7,4.6,4.7,4.4
Santa Clara,t,Santa Clara,Santa Clara,95051,Private room in rental unit,Private room,2,1,1,1,15,45,75,329,28,4.93,4.96,4.89,4.96,4.93,4.89,4.89
San Jose,f,Santa Clara,San Jose,95051,Entire guest suite,Entire home/apt,2,1,1,1,7,27,52,142,31,4.9,4.94,4.97,4.94,4.94,5,5
Great Oaks,t,Great Oaks,Great Oaks,95111,Private room in home,Private room,3,1,1,1,0,0,0,229,22,4.68,4.77,4.55,4.82,4.86,4.64,4.64
Santa Clara,t,San Francisco,San Francisco,94086,Entire home,Entire home/apt,7,1,3,6,28,58,88,363,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Santa Clara,t,San Francisco,San Francisco,94086,Private room in home,Private room,1,1,3,3,0,0,1,276,1,5,5,5,5,5,5,5
Central San Jose,t,Central San Jose,Central San Jose,95110,Entire rental unit,Entire home/apt,11,1,3,3,8,27,57,57,71,4.82,4.82,4.93,4.83,4.83,4.77,4.83
North Whisman,t,Mountain View,Mountain View,94041,Entire rental unit,Entire home/apt,2,1,1,1,4,34,64,339,26,4.65,4.85,4.81,4.96,4.85,4.85,4.5
Half Moon Bay,t,San Jose,Shinjuku,95132,Entire home,Entire home/apt,8,1,4,5,26,51,77,77,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
,f,,,95054,Private room in townhouse,Private room,6,1,3,3,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Cambridge,t,Mountain View,New York,94040,Entire rental unit,Entire home/apt,4,1,2,2,0,0,0,29,1,5,5,5,5,4,5,4
Sunnyvale,t,Sunnyvale,Sunnyvale,95051,Private room in home,Private room,2,1,1,1,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Morgan Hill,t,Morgan Hill,Morgan Hill,95037,Entire home,Entire home/apt,6,1,1,1,22,50,80,337,67,5,4.99,4.97,4.99,5,4.96,4.97
Sunnyvale,t,San Francisco,San Francisco,95132,Entire home,Entire home/apt,10,1,5,5,0,0,0,134,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Evergreen,t,San Jose,San Jose,95135,Entire townhouse,Entire home/apt,4,1,3,3,12,12,23,297,1,5,5,5,5,5,5,5
Shoreline West,t,Pleasanton,Pleasanton,94306,Entire rental unit,Entire home/apt,3,1,1,1,6,27,57,146,27,4.78,4.89,4.93,5,4.89,4.85,4.44
Central San Jose,t,San Jose,San Jose,95110,Entire rental unit,Entire home/apt,4,1,2,2,19,49,73,163,41,4.68,4.73,4.88,4.76,4.71,4.34,4.54
Edgewood,t,Santa Clara,Santa Clara,95051,Entire home,Entire home/apt,8,1,3,4,0,0,0,0,39,4.62,4.67,4.59,4.72,4.74,4.79,4.56
Santa Clara,t,Santa Clara,Santa Clara,95051,Entire home,Entire home/apt,9,1,4,8,21,43,69,141,37,4.92,4.95,4.89,4.95,4.97,4.92,4.92
,t,,,95051,Entire condo,Entire home/apt,4,1,2,2,17,17,17,85,3,5,5,5,5,5,5,5
West Valley,t,Saratoga,Saratoga,95054,Entire home,Entire home/apt,5,1,2,3,13,30,60,149,9,4.78,4.78,5,5,4.78,4.67,4.78
Alum Rock,t,San Jose,San Jose,95127,Entire guest suite,Entire home/apt,4,1,1,3,3,26,56,140,37,5,4.97,4.97,4.95,5,4.84,4.86
West Valley,t,West Valley,West Valley,94087,Entire townhouse,Entire home/apt,6,1,3,5,30,60,89,89,2,5,5,5,5,5,5,5
Cupertino,t,Cupertino,Cupertino,95014,Private room in home,Private room,2,1,1,1,18,48,78,353,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
South San Jose,t,San Jose,Santa Clara,95121,Entire guesthouse,Entire home/apt,2,1,1,1,11,24,53,53,55,4.82,4.75,4.76,4.82,4.89,4.75,4.6
New York,t,New York,New York,95050,Private room in townhouse,Private room,3,1,1,1,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Santa Clara,t,Santa Clara,Santa Clara,95051,Private room in home,Private room,2,1,1,1,0,0,0,261,12,4.92,5,4.83,5,5,5,4.92
Berryessa,f,Berryessa,Berryessa,95131,Private room in home,Private room,1,1,1,1,0,0,6,6,26,4.92,4.92,4.96,5,4.88,4.73,4.88
Cambridge,t,Santa Clara,New York,95128,Entire rental unit,Entire home/apt,2,1,1,1,0,28,58,333,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Sunnyvale,t,Santa Clara,Sunnyvale,95051,Entire home,Entire home/apt,2,1,2,1,12,17,28,28,5,4.4,4.8,4.2,4.8,4.8,4.8,4.4
West Valley,t,West Valley,West Valley,95130,Entire guesthouse,Entire home/apt,4,1,2,2,6,27,52,318,28,5,4.96,4.89,5,4.96,4.89,4.93
Sunnyvale,t,San Francisco,San Francisco,95035,Entire serviced apartment,Entire home/apt,2,1,1,1,0,0,0,252,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
,t,,,95112,Private room in home,Private room,2,1,1,1,19,39,69,186,69,4.81,4.88,4.7,4.93,4.87,4.87,4.81
California,t,Gilroy,California,95020,Entire home,Entire home/apt,6,1,3,4,30,60,90,269,3,5,5,4.67,5,5,5,5
Milpitas,t,Milpitas,Milpitas,95035,Entire bungalow,Entire home/apt,8,1,3,6,11,31,57,146,38,4.61,4.68,4.32,4.97,4.84,4.68,4.55
Cambridge,t,Campbell,New York,95008,Entire rental unit,Entire home/apt,2,1,1,1,0,15,45,320,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Cambridge,t,Campbell,New York,95008,Entire rental unit,Entire home/apt,2,1,1,1,0,30,60,335,1,4,5,5,5,4,5,4
Cambridge,t,Campbell,New York,95008,Entire rental unit,Entire home/apt,2,1,1,1,0,0,0,231,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Cambridge,t,Campbell,New York,95008,Entire rental unit,Entire home/apt,2,1,1,1,0,0,18,293,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Evergreen,t,San Jose,San Jose,95121,Private room in home,Private room,2,1,1,1,0,0,0,0,2,5,5,5,5,5,5,5
West Valley,t,San Jose,San Jose,95128,Entire condo,Entire home/apt,4,1,2,2,0,0,6,13,6,5,5,5,5,5,5,5
Alum Rock,t,San Jose,San Jose,95133,Entire rental unit,Entire home/apt,3,1,2,1,0,0,23,297,1,5,5,5,5,5,5,5
Santa Clara,t,Santa Clara,Santa Clara,95051,Entire rental unit,Entire home/apt,3,1,1,1,0,0,8,188,11,5,4.91,4.82,4.91,5,5,4.82
Berryessa,t,United States,United States,95126,Entire rental unit,Entire home/apt,7,1,3,4,23,53,79,351,12,4.67,4.67,4.92,5,4.75,4.83,4.75
Berryessa,t,United States,United States,95126,Entire rental unit,Entire home/apt,4,1,1,2,26,56,82,357,9,4.67,4.78,4.78,5,5,4.78,4.33
Northside,t,San Jose,Monte Vista,95112,Entire home,Entire home/apt,10,1,4,8,28,48,72,112,6,4,4,3.17,4.33,4.33,4.33,4.17
Snail,t,Sunnyvale,Sunnyvale,94085,Private room in townhouse,Private room,2,1,1,1,0,15,34,34,31,5,5,5,5,4.97,4.97,4.97
Northside,f,San Jose,Northside,95112,Entire guest suite,Entire home/apt,4,1,2,3,2,2,2,2,43,4.86,4.93,4.86,5,4.98,4.86,4.95
College Terrace,f,Palo Alto,Palo Alto,94041,Entire condo,Entire home/apt,6,1,2,3,9,30,53,318,25,4.76,4.72,4.92,4.96,4.96,4.96,4.76
West Valley,t,West Valley,West Valley,95131,Entire home,Entire home/apt,8,1,3,6,16,43,73,162,21,4.95,4.95,4.95,5,5,4.86,4.81
Cambridge,t,Santa Clara,New York,95150,Entire rental unit,Entire home/apt,6,1,3,3,0,0,0,228,1,5,4,5,5,5,5,5
Cambridge,t,Santa Clara,New York,95150,Entire rental unit,Entire home/apt,4,1,2,2,0,0,0,272,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
West Valley,t,West Valley,West Valley,95128,Entire loft,Entire home/apt,4,1,1,2,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Santa Clara,t,San Jose,San Jose,95132,Private room in home,Private room,1,1,1,1,27,57,87,176,16,4.38,4.31,4.38,4.81,4.38,4.81,4.31
North Whisman,t,Mountain View,Mountain View,94043,Entire rental unit,Entire home/apt,2,1,1,1,8,38,68,343,24,4.75,4.83,4.92,4.92,4.96,4.92,4.75
Barron Park,t,Palo Alto,Coppell,94304,Private room in home,Private room,1,1,1,1,29,59,89,363,1,5,5,5,5,5,5,5
Cambridge,t,Palo Alto,New York,94301,Entire rental unit,Entire home/apt,2,1,1,1,0,0,0,0,1,3,2,4,5,3,5,3
Cambridge,t,Campbell,New York,95008,Entire rental unit,Entire home/apt,6,1,3,3,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Berryessa,t,United States,United States,95126,Entire rental unit,Entire home/apt,12,1,6,7,20,50,76,348,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Sunnyvale,t,Palo Alto,Palo Alto,94085,Entire cottage,Entire home/apt,3,1,1,2,0,0,0,45,12,4.83,4.92,4.92,5,5,4.83,4.75
Northside,t,San Jose,San Jose,95112,Entire home,Entire home/apt,10,1,4,8,28,48,71,71,7,4.86,4.86,4.86,4.86,4.86,4.86,4.86
Cupertino,t,Cupertino,Cupertino,95014,Private room in home,Private room,2,1,1,1,16,46,65,340,2,5,5,5,5,5,5,5
Central San Jose,t,San Jose,San Jose,95110,Entire rental unit,Entire home/apt,4,1,2,2,24,54,84,173,51,4.8,4.9,4.88,4.92,4.86,4.67,4.82
Gardner,t,San Jose,San Jose,95052,Entire home,Entire home/apt,8,1,4,5,10,30,56,236,64,4.97,4.95,4.97,4.98,4.95,4.94,4.95
West Valley,f,West Valley,West Valley,95128,Entire condo,Entire home/apt,4,1,1,2,0,5,35,310,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Burbank/Del Monte,t,Sunnyvale,California,95086,Entire rental unit,Entire home/apt,5,1,2,5,1,21,51,326,1,4,4,5,4,5,4,3
California,t,San Jose,California,95124,Entire home,Entire home/apt,10,1,5,5,23,53,83,351,36,4.69,4.78,4.56,4.86,4.89,4.78,4.61
West Valley,t,San Jose,San Jose,95117,Entire home,Entire home/apt,6,1,3,3,0,0,0,0,20,4.8,4.8,4.75,4.8,4.9,4.85,4.75
Central San Jose,t,San Jose,San Jose,95192,Entire rental unit,Entire home/apt,2,1,1,2,0,0,19,19,23,4.74,4.87,4.91,4.96,4.74,4.43,4.7
Del Marietta - Southwest,t,San Jose,San Jose,95126,Private room in rental unit,Private room,2,1,1,1,0,0,0,0,1,5,5,4,5,5,5,5
Evergreen,t,San Jose,San Jose,95121,Private room in home,Private room,2,1,1,1,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Central San Jose,t,San Jose,San Jose,,Entire rental unit,Entire home/apt,2,1,1,2,16,46,75,75,31,5,4.97,4.97,4.94,4.97,4.87,4.71
Sunnyvale,t,Sunnyvale,Sunnyvale,95086,Entire guesthouse,Entire home/apt,3,1,1,2,2,18,20,150,53,4.94,4.96,4.89,4.96,4.98,4.94,4.96
Santa Clara,t,San Jose,San Jose,95053,Private room in home,Private room,2,1,1,1,0,0,4,93,10,4.3,4.5,4.2,4.4,4.4,4.9,4.8
North Los Altos,t,Los Altos,Coppell,94022,Entire home,Entire home/apt,8,1,3,5,30,60,90,365,4,5,5,5,4.75,5,5,5
Edenvale,t,San Jose,San Jose,95119,Private room in home,Private room,1,1,1,1,19,19,32,77,46,4.8,4.85,4.78,4.91,4.91,4.87,4.83
Sunnyvale,t,Sunnyvale,Sunnyvale,94085,Private room in home,Private room,1,1,1,1,8,38,68,343,7,5,4.71,5,5,5,4.71,4.86
Central San Jose,t,San Jose,San Jose,95112,Entire rental unit,Entire home/apt,4,1,2,2,21,46,76,76,27,4.96,4.96,4.89,4.96,4.93,4.81,4.85
Cambridge,t,Palo Alto,New York,94025,Entire rental unit,Entire home/apt,4,1,2,2,16,46,76,351,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Willow Glen,t,San Jose,San Jose,95128,Entire home,Entire home/apt,16,1,3,4,12,12,12,180,48,4.52,4.6,4.33,4.75,4.75,4.83,4.44
Northside,t,San Jose,San Jose,95112,Entire rental unit,Entire home/apt,2,1,1,2,11,41,71,338,11,4.45,4.55,4.45,4.73,4.82,4.55,4.55
Central District,t,Sunnyvale,San Francisco,95086,Entire rental unit,Entire home/apt,5,1,2,4,7,7,7,209,11,4.64,4.55,4.73,4.73,4.73,4.55,4.27
Central San Jose,t,San Jose,San Jose,95110,Entire rental unit,Entire home/apt,4,1,2,2,21,39,68,68,51,4.9,4.94,4.92,4.92,4.84,4.75,4.8
Central San Jose,t,San Jose,San Jose,95110,Entire rental unit,Entire home/apt,4,1,2,2,22,52,82,82,53,4.79,4.92,4.92,4.92,4.89,4.55,4.68
Sunnyvale,t,San Francisco,San Francisco,95035,Entire home,Entire home/apt,8,1,4,4,0,18,48,323,2,5,5,4.5,5,4.5,5,5
Rivermark of Santa Clara,t,Santa Clara,Santa Clara,95054,Private room in home,Private room,3,1,1,5,0,17,47,136,4,4.5,4.5,4.25,5,4.75,5,4.25
Sunnyvale West,t,San Jose,San Jose,94087,Private room in rental unit,Private room,2,1,1,1,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
San Jose,t,San Jose,San Jose,95052,Entire rental unit,Entire home/apt,5,1,2,2,12,12,35,215,5,4.6,4.8,4.6,4.8,5,5,4.6
Campbell,t,Palo Alto,Palo Alto,95128,Entire rental unit,Entire home/apt,2,1,1,1,12,39,69,159,50,4.9,4.88,4.86,4.86,4.9,4.64,4.84
Blossom Valley,t,San Jose,Saratoga,95136,Private room in home,Private room,1,1,1,1,9,39,69,344,3,4.67,5,4.67,5,4.67,5,4.67
Cambridge,t,Milpitas,New York,95035,Entire rental unit,Entire home/apt,2,1,1,1,15,45,75,350,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
,t,,,95020,Entire serviced apartment,Entire home/apt,3,1,2,2,30,60,90,364,3,4.33,4.67,4,4.67,5,4.33,4.33
West Valley,t,San Jose,San Francisco,95117,Entire home,Entire home/apt,2,1,1,1,7,7,7,7,14,4.79,4.71,4.79,4.86,4.86,4.86,4.86
Willow Glen,f,San Jose,Willow Glen,95125,Entire guesthouse,Entire home/apt,1,1,1,1,0,0,0,228,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Cambridge,t,Mountain View,New York,94040,Entire rental unit,Entire home/apt,4,1,2,2,0,0,17,292,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
,t,,,94022,Private room in home,Private room,1,1,1,1,0,0,0,0,1,5,5,5,5,5,5,5
Central San Jose,t,San Jose,San Jose,95125,Entire condo,Entire home/apt,2,1,1,1,0,2,11,104,20,4.95,5,4.95,5,4.9,4.9,5
Cambridge,t,Santa Clara,New York,95134,Entire rental unit,Entire home/apt,6,1,3,3,0,0,0,224,1,5,5,5,5,5,5,4
Upper East Side,t,Mountain View,New York,94040,Entire rental unit,Entire home/apt,5,1,2,2,30,60,90,359,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Santa Clara,t,Santa Clara,Santa Clara,95051,Private room in home,Private room,2,1,1,1,0,17,47,322,4,4.75,4.75,4.75,5,5,5,4.75
North San Jose,t,San Jose,North San Jose,95134,Entire serviced apartment,Entire home/apt,3,1,1,2,21,21,21,21,9,4.33,4.11,4.33,4,4.11,4.56,4.22
Santa Clara,t,Santa Clara,Santa Clara,95070,Entire home,Entire home/apt,8,1,3,3,0,0,0,104,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
San Jose,t,San Jose,San Jose,95054,Entire guest suite,Entire home/apt,2,1,1,1,0,0,0,0,6,5,5,5,5,5,4.83,4.83
Central San Jose,t,San Jose,San Jose,95110,Entire rental unit,Entire home/apt,4,1,2,3,17,39,69,69,46,4.87,4.91,4.93,4.87,4.89,4.5,4.78
Piedmont,t,San Jose,San Jose,95035,Entire villa,Entire home/apt,8,1,4,4,30,60,90,364,2,5,5,5,5,5,5,4.5
Cambridge,t,Mountain View,Cambridge,94040,Entire serviced apartment,Entire home/apt,3,1,1,2,29,59,89,364,1,5,5,5,3,4,5,5
Cambridge,t,Mountain View,Cambridge,94040,Entire serviced apartment,Entire home/apt,5,1,2,3,24,54,84,359,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Palo Alto,f,Palo Alto,Palo Alto,94301,Entire rental unit,Entire home/apt,3,1,1,1,9,35,65,340,14,4.93,4.86,5,5,5,5,4.57
San Francisco,f,San Francisco,San Francisco,95070,Private room in villa,Private room,2,1,1,5,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Santa Clara,t,San Jose,San Jose,95050,Shared room in home,Shared room,1,1,1,1,17,47,77,167,6,4.17,4,3.83,4.17,3.33,4.33,4.17
Willow Glen,t,San Jose,San Jose,95125,Entire guesthouse,Entire home/apt,2,1,1,1,7,25,51,325,22,4.64,4.73,4.68,4.91,4.73,5,4.64
Santa Clara,t,San Jose,San Jose,95050,Shared room in home,Shared room,1,1,1,1,0,0,1,91,8,4.75,4.75,4.25,4.88,4.5,4.88,4.75
Sunnyvale,t,San Francisco,San Francisco,95129,Entire home,Entire home/apt,8,1,4,4,0,17,47,322,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Palo Alto,t,Sunnyvale,Palo Alto,94085,Entire home,Entire home/apt,6,1,3,3,21,45,64,149,28,4.79,4.82,4.75,4.86,4.82,4.82,4.71
Santa Clara,t,Santa Clara,Santa Clara,95050,Private room in home,Private room,2,1,1,1,14,44,74,348,8,4.88,4.75,4.88,4.88,4.88,4.88,4.88
Central San Jose,t,San Jose,San Jose,95126,Entire home,Entire home/apt,6,1,2,3,13,32,53,54,106,4.77,4.87,4.76,4.89,4.92,4.78,4.79
Cambridge,t,San Jose,Cambridge,95129,Entire serviced apartment,Entire home/apt,5,1,2,3,30,60,90,365,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Cambridge,t,San Jose,New York,95128,Entire rental unit,Entire home/apt,2,1,1,1,21,51,81,356,1,5,5,5,5,5,5,5
Cuesta Park,t,Baltimore,Baltimore,94041,Entire guest suite,Entire home/apt,2,1,1,1,9,9,36,311,11,4.91,4.91,4.82,4.91,5,4.91,4.73
Barron Park,t,Coppell,Coppell,94306,Private room in home,Private room,4,1,2,2,29,59,89,364,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Central San Jose,t,San Jose,San Jose,95126,Entire home,Entire home/apt,2,1,1,1,13,29,57,65,109,4.72,4.83,4.78,4.94,4.83,4.75,4.62
Blossom Valley,t,Saratoga,Saratoga,95136,Private room in home,Private room,1,1,1,1,30,60,90,365,5,5,5,5,5,5,5,5
Blossom Valley,t,Saratoga,Saratoga,95136,Private room in home,Private room,1,1,1,1,23,53,83,358,5,5,5,5,5,5,5,4.8
San Jose,t,Mountain View,San Jose,94040,Private room in home,Private room,2,1,1,1,6,19,44,116,21,4.9,5,5,4.9,5,4.9,4.86
Berryessa,t,United States,United States,95126,Entire rental unit,Entire home/apt,16,1,8,13,20,50,76,348,1,3,2,5,1,3,4,4
Mountain View,t,Mountain View,Mountain View,94043,Shared room in rental unit,Shared room,1,1,1,1,13,26,43,43,39,4.87,4.95,4.54,4.95,4.92,4.92,4.92
Old Mountain View,f,Mountain View,Mountain View,94041,Entire home,Entire home/apt,6,1,3,3,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Willow Glen,t,San Jose,San Jose,95125,Entire guesthouse,Entire home/apt,2,1,1,1,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
West Valley,f,Santa Clara,Santa Clara,95129,Entire rental unit,Entire home/apt,4,1,1,2,0,3,3,3,27,4.96,5,4.89,4.96,5,4.85,4.93
University South,t,Menlo Park,Menlo Park,95008,Entire home,Entire home/apt,4,1,2,3,11,28,51,79,16,4.63,4.75,4.63,4.94,4.94,5,4.44
,t,,,95054,Entire home,Entire home/apt,8,1,4,4,0,0,0,0,1,5,5,5,5,5,5,5
Willow Glen,t,Willow Glen,Willow Glen,95128,Entire home,Entire home/apt,4,1,2,2,4,31,61,336,37,4.84,4.92,4.86,4.95,4.95,4.92,4.84
Mountain View,t,Mountain View,Mountain View,94043,Entire condo,Entire home/apt,3,1,1,1,2,2,18,33,3,5,5,5,5,5,5,5
Alum Rock,t,San Jose,San Jose,95127,Entire guest suite,Entire home/apt,2,1,1,1,27,57,76,144,37,4.86,4.84,4.95,4.95,4.97,4.7,4.81
San Jose,f,San Jose,San Jose,95112,Entire home,Entire home/apt,5,1,2,3,0,0,4,31,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Alum Rock,t,San Jose,San Jose,95127,Private room in home,Private room,1,1,1,1,30,60,90,365,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Willow Glen,t,San Jose,San Jose,95051,Entire guesthouse,Entire home/apt,2,1,1,1,30,60,90,180,20,4.05,4.35,4.3,4.55,4.55,4.7,4.3
Palo Alto,f,Palo Alto,Palo Alto,94301,Entire rental unit,Entire home/apt,3,1,1,1,7,37,67,341,11,4.73,4.82,4.82,4.64,4.82,5,4.55
West Valley,f,San Jose,San Jose,95117,Private room in home,Private room,2,1,1,2,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
West Valley,t,San Jose,San Jose,95117,Entire condo,Entire home/apt,2,1,1,1,0,0,0,0,10,4.8,4.8,4.9,4.4,4.8,4.9,4.9
Central San Jose,t,San Jose,San Jose,95124,Entire home,Entire home/apt,6,1,3,4,12,30,32,32,13,4.92,4.92,4.92,5,5,4.77,4.92
Alum Rock,t,San Jose,San Jose,95127,Camper/RV,Entire home/apt,1,1,1,2,23,53,83,83,14,4.86,4.93,4.79,4.93,4.93,4.93,4.79
Cambridge,t,San Jose,New York,95128,Entire rental unit,Entire home/apt,2,1,1,1,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Cambridge,t,San Jose,New York,95128,Entire rental unit,Entire home/apt,4,1,2,2,7,22,52,327,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Cambridge,t,Sunnyvale,New York,94085,Entire rental unit,Entire home/apt,6,1,3,3,0,0,16,291,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Cory,t,San Jose,San Jose,95128,Entire home,Entire home/apt,4,1,2,3,0,0,0,110,2,5,5,5,5,5,5,5
Valley View - Reed,t,San Jose,San Jose,95124,Entire home,Entire home/apt,8,1,4,5,0,0,0,0,17,4.65,4.94,4.82,4.76,5,4.94,4.71
Cambridge,t,Cupertino,New York,95014,Entire rental unit,Entire home/apt,4,1,2,2,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Berryessa,t,San Jose,San Jose,95132,Entire home,Entire home/apt,10,1,4,6,26,26,26,26,38,4.87,4.87,4.74,4.97,4.95,5,4.79
Cambridge,t,Santa Clara,New York,95054,Entire rental unit,Entire home/apt,2,1,1,1,0,5,35,310,1,5,5,5,5,5,5,5
Cambridge,t,Santa Clara,New York,95054,Entire rental unit,Entire home/apt,4,1,2,2,0,0,0,142,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Mira Mesa,t,Sunnyvale,Denver,95086,Entire home,Entire home/apt,7,1,3,4,15,41,63,338,9,4.33,4.78,4.44,5,4.89,4.67,4.33
Central San Jose,t,San Jose,San Jose,95116,Entire home,Entire home/apt,4,1,2,2,0,0,0,260,3,5,5,5,5,5,4.67,5
Sunnyvale,t,San Francisco,San Francisco,94306,Entire home,Entire home/apt,8,1,4,4,0,0,0,203,1,5,4,5,5,5,5,4
Snail,f,Sunnyvale,Sunnyvale,94085,Entire condo,Entire home/apt,4,1,2,2,0,8,38,312,1,5,5,5,5,5,5,3
Sunnyvale West,t,Sunnyvale,Sunnyvale,94087,Private room in rental unit,Private room,1,1,1,1,30,60,90,104,2,5,5,5,5,5,5,5
Cambridge,t,Sunnyvale,New York,94085,Entire rental unit,Entire home/apt,6,1,3,3,2,32,62,337,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
West Valley,t,Philadelphia,Philadelphia,95130,Entire home,Entire home/apt,6,1,3,3,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
